['8.1', 'G', '/user/datahome/hive_db/datahome.db/ods_tmxw_active_vote_record_di']
['7.9', 'G', '/user/datahome/hive_db/datahome.db/ods_tmy_xwcmfgd_df']
['7.8', 'G', '/user/datahome/hive_db/datahome.db/ods_fact_data_quality_result']
['7.4', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_wangmai_appcommondevicemapping']
['7.4', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_mlf_xwcmfgd']
['6.9', 'G', '/user/datahome/hive_db/datahome.db/edm_fact_cs_content_local_web_article_summary_w']
['6.6', 'G', '/user/datahome/hive_db/datahome.db/edw_fact_zjxw_rs_sailing_user_unread_article_keywords']
['6.4', 'G', '/user/datahome/hive_db/datahome.db/edw_dim_zjxw_article_info']
['6.4', 'G', '/user/datahome/hive_db/datahome.db/edw_dim_getui_user_tag_detail_info']
['6.2', 'G', '/user/datahome/hive_db/datahome.db/ods_fact_zjxw_log_final']
['6.2', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_cs_cangnan_user_info']
['5.9', 'G', '/user/datahome/hive_db/datahome.db/ods_tmxw_active_tm_users_di']
['5.9', 'G', '/user/datahome/hive_db/datahome.db/edw_dim_getui_user_tag_info']
['5.8', 'G', '/user/datahome/hive_db/datahome.db/ods_tmy_xwcmfgduser_df']
['5.8', 'G', '/user/datahome/hive_db/datahome.db/edw_dim_zjxw_rs_active_device']
['5.7', 'G', '/user/datahome/hive_db/datahome.db/edm_fact_xb_article_fx_d']
['5.7', 'G', '/user/datahome/hive_db/datahome.db/edm_fact_tmxw_article_summary_w']
['5.6', 'G', '/user/datahome/hive_db/datahome.db/ods_fact_zjxw_score_order']
['5.4', 'G', '/user/datahome/hive_db/datahome.db/edm_fact_dmp_persona_account_summary_w']
['5.2', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_wangmai_appdevicemapping']
['5.0', 'G', '/user/datahome/hive_db/datahome.db/edm_fact_xg_web_article_summary_1d']
['4.9', 'G', '/user/datahome/hive_db/datahome.db/edw_fact_zjxw_wm_article_summary_3d']
['4.7', 'G', '/user/datahome/hive_db/datahome.db/ods_fact_recommend_log']
['4.7', 'G', '/user/datahome/hive_db/datahome.db/edw_fact_zjxw_rs_sailing_user_unread_article_info']
['4.6', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_wangmai_appcommondevicemapping_stage']
['4.4', 'G', '/user/datahome/hive_db/datahome.db/ods_fact_zjxw_sensors_users_his']
['4.3', 'G', '/user/datahome/hive_db/datahome.db/dwd_zbjt_24news_web_event_ua_di']
['4.0', 'G', '/user/datahome/hive_db/datahome.db/edw_dim_24h_active_account_group_info']
['3.9', 'G', '/user/datahome/hive_db/datahome.db/dwd_zbjt_24news_web_event_read_di']
['3.8', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_24news_reporter_help']
['3.8', 'G', '/user/datahome/hive_db/datahome.db/dwd_zbjt_tmxw_web_event_ua_di']
['3.8', 'G', '/user/datahome/hive_db/datahome.db/dwd_zbjt_tmxw_web_event_read_di']
['3.6', 'G', '/user/datahome/hive_db/datahome.db/edm_fact_cs_cangnan_user_summary_m_his_gaoyy']
['3.4', 'G', '/user/datahome/hive_db/datahome.db/edm_fact_24news_article_summary_m']
['3.3', 'G', '/user/datahome/hive_db/datahome.db/ods_wangmai_bas_appcvevent_temp']
['3.3', 'G', '/user/datahome/hive_db/datahome.db/ods_fact_mushu_article_explode_m_5']
['3.3', 'G', '/user/datahome/hive_db/datahome.db/edm_fact_rs_article_summary_d']
['3.2', 'G', '/user/datahome/hive_db/datahome.db/edm_fact_tmxw_rs_based_on_location_recommend']
['3.2', 'G', '/user/datahome/hive_db/datahome.db/edm_fact_cs_content_local_web_article_summary_m']
['3.1', 'G', '/user/datahome/hive_db/datahome.db/dim_24news_article_df']
